" ",A10S5LDYYYB496,A1FGKIKJYSL1MI,A1LLT1N2U68K50,A1OYYWJ2B7OQTD,A1SVJRX4L97NMC,A1X9N8X97XUAYK,A21EHZ39CBILE,A2B1YSMEHN1G2K,A2GXPU7NQ4A8ZY,A2QGTGDZM7Q7RL,A2ZJOFTSMRNV9I,A35T0N6XN4KLEM,A3BL2ZEODD79AZ,A3CF8ULBSE8MTL,A3GXL3FJ42JPS8,A3TQKAOIJSPPRB,A3UDQWDFLCD7AV,A3V2MCIYI0PP1C,A8GWYS9O8FUEK,A9EQ4FWCUQVBL,AJE0K0QN4T6F0,AQ659QYKHBBDI,AUBATPCNW35B9,AWJ3J10LYEFE
18240881_01,-,Premise-I,Premise-I,O,-,-,-,O,-,Premise-B,-,-,-,Premise-I,Premise-I,-,O,-,-,-,-,-,Premise-I,-
18240881_02,-,Premise-I,Premise-I,O,-,-,-,O,-,Premise-I,-,-,-,Premise-I,O,-,O,-,-,-,-,-,Premise-I,-
18240881_03,-,O,O,Premise-B,-,-,-,Premise-B,-,O,-,-,-,O,O,-,O,-,-,-,-,-,Premise-B,-
18240881_04,-,O,Premise-B,Premise-I,-,-,-,Premise-I,-,O,-,-,-,O,O,-,Premise-B,-,-,-,-,-,O,-
18240881_05,-,O,Premise-I,Premise-B,-,-,-,Premise-I,-,O,-,-,-,O,O,-,Premise-I,-,-,-,-,-,O,-
18240881_06,-,O,Premise-I,Premise-I,-,-,-,Premise-I,-,Premise-B,-,-,-,O,O,-,Premise-I,-,-,-,-,-,O,-
18641085_00,-,O,Premise-B,Premise-B,-,-,-,O,-,-,-,-,-,Premise-B,Premise-B,O,-,-,O,O,-,-,-,-
18641085_01,-,O,Premise-I,Premise-I,-,-,-,O,-,-,-,-,-,Premise-I,O,O,-,-,O,O,-,-,-,-
18641085_02,-,O,O,Premise-I,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
18641085_03,-,O,O,Premise-I,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
18641085_04,-,O,Premise-B,Premise-I,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
18641085_05,-,O,O,Premise-I,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
18641085_06,-,Premise-B,O,Premise-I,-,-,-,O,-,-,-,-,-,Premise-B,O,O,-,-,O,O,-,-,-,-
18641085_07,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
18641085_08,-,Premise-B,Premise-B,O,-,-,-,O,-,-,-,-,-,Premise-B,O,O,-,-,O,O,-,-,-,-
18641085_09,-,Premise-I,Premise-I,O,-,-,-,O,-,-,-,-,-,Premise-I,O,O,-,-,O,O,-,-,-,-
18641085_10,-,Premise-I,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
18641085_11,-,Premise-I,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,Premise-B,-,-,O,O,-,-,-,-
18641085_12,-,Premise-I,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,Premise-I,-,-,O,O,-,-,-,-
18641085_13,-,Premise-I,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,Premise-I,-,-,O,O,-,-,-,-
18863881_00,O,O,O,Premise-B,-,-,Premise-B,O,-,-,-,-,-,O,-,Premise-B,-,-,-,-,-,-,O,-
18863881_01,Premise-B,Premise-B,Premise-B,O,-,-,Premise-B,Premise-B,-,-,-,-,-,Premise-B,-,O,-,-,-,-,-,-,Premise-B,-
18863881_02,O,Premise-I,O,Premise-B,-,-,O,Premise-B,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_03,O,Premise-I,O,Premise-I,-,-,O,Premise-I,-,-,-,-,-,Premise-B,-,O,-,-,-,-,-,-,O,-
18863881_04,O,Premise-I,O,Premise-I,-,-,O,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,-,-,-,O,-
18863881_05,O,Premise-I,O,Premise-I,-,-,O,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,-,-,-,O,-
18863881_06,O,Premise-I,O,Premise-I,-,-,O,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,-,-,-,O,-
18863881_07,O,Premise-I,O,Premise-I,-,-,O,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,-,-,-,O,-
18863881_08,O,Premise-I,O,Premise-I,-,-,O,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_09,O,Premise-I,Premise-B,Premise-I,-,-,O,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_10,O,Premise-I,Premise-I,Premise-I,-,-,O,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_11,Premise-B,O,O,Premise-I,-,-,O,Premise-B,-,-,-,-,-,O,-,Premise-B,-,-,-,-,-,-,Premise-B,-
18863881_12,Premise-I,O,O,Premise-I,-,-,Premise-B,Premise-I,-,-,-,-,-,O,-,Premise-I,-,-,-,-,-,-,Premise-I,-
18863881_13,O,O,O,Premise-I,-,-,Premise-B,Premise-I,-,-,-,-,-,Premise-B,-,O,-,-,-,-,-,-,O,-
18863881_14,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_15,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_16,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_17,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_18,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
18863881_19,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
19586342_00,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_01,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_02,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_03,O,O,O,Premise-B,-,O,-,O,-,-,-,-,-,Premise-B,-,O,-,-,-,O,-,-,-,-
19586342_04,O,O,O,Premise-I,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_05,O,O,O,Premise-B,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_06,O,O,O,Premise-I,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_07,O,O,O,Premise-B,-,Premise-B,-,Premise-B,-,-,-,-,-,O,-,Premise-B,-,-,-,O,-,-,-,-
19586342_08,O,O,O,Premise-I,-,Premise-I,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_09,O,O,O,Premise-I,-,Premise-I,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_10,O,O,O,Premise-B,-,Premise-I,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_11,O,O,O,Premise-I,-,Premise-I,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_12,O,O,O,Premise-B,-,Premise-I,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_13,O,O,O,Premise-I,-,Premise-I,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
19586342_14,O,O,O,Premise-B,-,Premise-I,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
20644706_00,O,-,O,Premise-B,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20644706_01,O,-,O,Premise-I,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20644706_02,O,-,Premise-B,Premise-B,-,O,-,-,-,-,-,-,-,O,Premise-B,Premise-B,-,-,-,O,-,-,-,O
20644706_03,O,-,O,Premise-I,-,O,-,-,-,-,-,-,-,O,O,Premise-I,-,-,-,O,-,-,-,O
20644706_04,Premise-B,-,O,Premise-B,-,Premise-B,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20644706_05,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20644706_06,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,Premise-B,O,O,-,-,-,O,-,-,-,O
20644706_07,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20644706_08,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20644706_09,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20644706_10,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20644706_11,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,Premise-B,O,O,-,-,-,O,-,-,-,O
20644706_12,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,Premise-I,O,O,-,-,-,O,-,-,-,O
20644706_13,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,Premise-I,O,O,-,-,-,O,-,-,-,O
20644706_14,Premise-I,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
20925757_00,O,O,Premise-B,O,-,Premise-B,-,Premise-B,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-B,-
20925757_01,O,O,O,O,-,Premise-I,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
20925757_02,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
20925757_03,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
20925757_04,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
20925757_05,Premise-B,Premise-B,Premise-B,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
20925757_06,Premise-I,Premise-I,Premise-I,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
20925757_07,Premise-B,Premise-I,O,Premise-B,-,O,-,Premise-B,-,-,-,-,-,Premise-B,-,Premise-B,-,-,-,-,-,-,Premise-B,-
20925757_08,Premise-I,Premise-I,O,Premise-I,-,O,-,Premise-I,-,-,-,-,-,Premise-I,-,Premise-I,-,-,-,-,-,-,Premise-I,-
20925757_09,Premise-I,Premise-I,O,Premise-B,-,O,-,Premise-I,-,-,-,-,-,Premise-I,-,Premise-I,-,-,-,-,-,-,Premise-I,-
2699885_00,-,O,O,O,-,-,-,O,-,O,-,-,-,Premise-B,O,O,-,-,-,-,-,O,-,-
2699885_01,-,O,O,O,-,-,-,O,-,O,-,-,-,Premise-I,O,O,-,-,-,-,-,O,-,-
2699885_02,-,O,O,O,-,-,-,O,-,O,-,-,-,Premise-I,O,O,-,-,-,-,-,O,-,-
2699885_03,-,O,O,O,-,-,-,O,-,O,-,-,-,Premise-I,O,O,-,-,-,-,-,O,-,-
2699885_04,-,O,O,O,-,-,-,O,-,O,-,-,-,Premise-I,O,O,-,-,-,-,-,O,-,-
2699885_05,-,O,O,O,-,-,-,O,-,O,-,-,-,O,Premise-B,O,-,-,-,-,-,O,-,-
2699885_06,-,O,O,O,-,-,-,O,-,O,-,-,-,O,Premise-I,O,-,-,-,-,-,O,-,-
2699885_07,-,O,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,O,-,-
2699885_08,-,O,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,O,-,-
2699885_09,-,Premise-B,O,Premise-B,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,O,-,-
2699885_10,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,O,-,-
2699885_11,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,O,-,-
2699885_12,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,O,-,-
2699885_13,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,O,-,-
2699885_14,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,O,-,-
2699885_15,-,Premise-I,Premise-B,Premise-I,-,-,-,O,-,Premise-B,-,-,-,Premise-B,O,Premise-B,-,-,-,-,-,O,-,-
2699885_16,-,Premise-I,Premise-I,O,-,-,-,O,-,Premise-I,-,-,-,Premise-I,O,Premise-I,-,-,-,-,-,O,-,-
2699885_17,-,Premise-I,Premise-I,O,-,-,-,O,-,Premise-I,-,-,-,Premise-I,O,Premise-I,-,-,-,-,-,O,-,-
2880150_00,O,-,Premise-B,Premise-B,O,-,-,Premise-B,-,-,-,-,-,O,-,Premise-B,-,Premise-B,-,-,-,-,O,-
2880150_01,O,-,O,Premise-I,O,-,-,Premise-I,-,-,-,-,-,O,-,Premise-I,-,Premise-I,-,-,-,-,O,-
2880150_02,O,-,O,Premise-B,O,-,-,Premise-I,-,-,-,-,-,O,-,Premise-I,-,Premise-I,-,-,-,-,O,-
2880150_03,Premise-B,-,Premise-B,Premise-I,O,-,-,Premise-I,-,-,-,-,-,Premise-B,-,Premise-I,-,Premise-I,-,-,-,-,O,-
3125570_00,Premise-B,-,Premise-B,Premise-B,-,O,-,-,-,-,-,-,-,Premise-B,Premise-B,O,-,-,-,O,-,-,-,O
3125570_01,Premise-I,-,Premise-I,Premise-I,-,O,-,-,-,-,-,-,-,Premise-I,Premise-I,O,-,-,-,O,-,-,-,O
3125570_02,Premise-I,-,Premise-I,Premise-B,-,O,-,-,-,-,-,-,-,Premise-I,Premise-I,O,-,-,-,O,-,-,-,O
3125570_03,O,-,O,O,-,Premise-B,-,-,-,-,-,-,-,O,O,Premise-B,-,-,-,O,-,-,-,O
3125570_04,O,-,O,O,-,Premise-I,-,-,-,-,-,-,-,O,O,Premise-I,-,-,-,O,-,-,-,O
3125570_05,O,-,O,O,-,Premise-I,-,-,-,-,-,-,-,O,O,Premise-I,-,-,-,O,-,-,-,O
3125570_06,O,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
3125570_07,O,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
4595363_00,-,-,O,Premise-B,-,-,-,O,-,Premise-B,-,-,-,Premise-B,Premise-B,Premise-B,-,-,-,O,-,-,Premise-B,-
4595363_01,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
4595363_02,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
4595363_03,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
4595363_04,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
4595363_05,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
4595363_06,-,-,O,Premise-B,-,-,-,Premise-B,-,O,-,-,-,Premise-B,O,O,-,-,-,O,-,-,Premise-B,-
4595363_07,-,-,O,Premise-I,-,-,-,Premise-I,-,O,-,-,-,Premise-B,Premise-B,Premise-B,-,-,-,O,-,-,Premise-I,-
4595363_08,-,-,O,Premise-I,-,-,-,Premise-I,-,O,-,-,-,Premise-I,Premise-I,Premise-I,-,-,-,O,-,-,O,-
4595363_09,-,-,Premise-B,Premise-I,-,-,-,O,-,O,-,-,-,O,O,Premise-I,-,-,-,O,-,-,O,-
4595363_10,-,-,Premise-I,Premise-I,-,-,-,O,-,O,-,-,-,O,O,Premise-I,-,-,-,O,-,-,O,-
4595363_11,-,-,Premise-I,Premise-I,-,-,-,O,-,O,-,-,-,O,O,Premise-I,-,-,-,O,-,-,O,-
4595363_12,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
4595363_13,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
5373430_00,Premise-B,O,Premise-B,Premise-B,-,Premise-B,-,Premise-B,-,-,-,-,-,O,-,Premise-B,-,-,-,O,-,-,-,-
5373430_01,Premise-I,O,Premise-I,Premise-I,-,Premise-I,-,Premise-I,-,-,-,-,-,Premise-B,-,Premise-I,-,-,-,O,-,-,-,-
5373430_02,Premise-I,O,Premise-I,Premise-B,-,O,-,Premise-I,-,-,-,-,-,O,-,Premise-I,-,-,-,O,-,-,-,-
5373430_03,Premise-I,O,O,Premise-I,-,O,-,Premise-I,-,-,-,-,-,O,-,Premise-I,-,-,-,O,-,-,-,-
5373430_04,Premise-B,O,O,O,-,O,-,Premise-I,-,-,-,-,-,Premise-B,-,O,-,-,-,O,-,-,-,-
5373430_05,Premise-I,O,O,O,-,O,-,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,O,-,-,-,-
5373430_06,Premise-I,O,O,O,-,O,-,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,O,-,-,-,-
5373430_07,Premise-B,Premise-B,Premise-B,O,-,O,-,O,-,-,-,-,-,Premise-B,-,O,-,-,-,O,-,-,-,-
5373430_08,Premise-I,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
5373430_09,Premise-I,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
5373430_10,Premise-I,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
5448788_00,-,O,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-B,-,-
5448788_01,-,O,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
5448788_02,-,Premise-B,Premise-B,Premise-B,-,-,-,O,-,O,-,-,-,Premise-B,Premise-B,O,-,-,-,-,-,Premise-I,-,-
5481449_00,-,-,O,O,-,-,-,O,-,-,O,-,Premise-B,O,-,O,-,-,-,-,O,-,-,O
5481449_01,-,-,O,O,-,-,-,Premise-B,-,-,O,-,Premise-B,Premise-B,-,Premise-B,-,-,-,-,O,-,-,O
5481449_02,-,-,O,O,-,-,-,O,-,-,Premise-B,-,O,O,-,O,-,-,-,-,O,-,-,O
5481449_03,-,-,Premise-B,Premise-B,-,-,-,Premise-B,-,-,O,-,O,O,-,Premise-B,-,-,-,-,Premise-B,-,-,Premise-B
5481449_04,-,-,Premise-I,Premise-I,-,-,-,Premise-I,-,-,O,-,O,O,-,Premise-I,-,-,-,-,Premise-I,-,-,Premise-I
5481449_05,-,-,Premise-I,Premise-B,-,-,-,Premise-I,-,-,Premise-B,-,O,O,-,O,-,-,-,-,Premise-I,-,-,Premise-I
5481449_06,-,-,Premise-I,Premise-I,-,-,-,O,-,-,O,-,O,O,-,O,-,-,-,-,O,-,-,Premise-I
5481449_07,-,-,Premise-I,Premise-I,-,-,-,O,-,-,O,-,O,O,-,O,-,-,-,-,O,-,-,Premise-I
5481449_08,-,-,Premise-I,Premise-B,-,-,-,O,-,-,O,-,O,O,-,O,-,-,-,-,O,-,-,Premise-I
6024976_00,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6024976_01,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6024976_02,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6024976_03,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6024976_04,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6024976_05,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6024976_06,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6024976_07,-,-,O,O,-,-,-,Premise-B,-,-,-,O,Premise-B,Premise-B,-,Premise-B,-,-,O,O,-,-,-,-
6024976_08,-,-,Premise-B,Premise-B,-,-,-,Premise-I,-,-,-,O,O,Premise-B,-,Premise-I,-,-,O,O,-,-,-,-
6024976_09,-,-,Premise-I,Premise-I,-,-,-,Premise-I,-,-,-,O,O,Premise-I,-,Premise-I,-,-,O,O,-,-,-,-
6024976_10,-,-,Premise-I,Premise-B,-,-,-,Premise-I,-,-,-,Premise-B,O,Premise-I,-,Premise-I,-,-,O,O,-,-,-,-
6024976_11,-,-,Premise-I,Premise-I,-,-,-,Premise-I,-,-,-,Premise-I,O,Premise-I,-,Premise-I,-,-,O,O,-,-,-,-
6024976_12,-,-,Premise-B,Premise-B,-,-,-,O,-,-,-,Premise-I,O,O,-,Premise-I,-,-,O,O,-,-,-,-
6024976_13,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,Premise-B,O,-,-,-,-
6024976_14,-,-,O,Premise-B,-,-,-,O,-,-,-,O,O,O,-,O,-,-,Premise-I,O,-,-,-,-
6024976_15,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,Premise-I,O,-,-,-,-
6024976_16,-,-,O,Premise-B,-,-,-,O,-,-,-,O,O,O,-,O,-,-,Premise-I,O,-,-,-,-
6212065_00,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6212065_01,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6212065_02,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6212065_03,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6212065_04,-,-,O,O,-,-,-,O,-,-,-,O,O,Premise-B,-,O,-,-,O,O,-,-,-,-
6212065_05,-,-,O,O,-,-,-,O,-,-,-,O,O,Premise-I,-,O,-,-,O,O,-,-,-,-
6212065_06,-,-,O,O,-,-,-,O,-,-,-,O,O,Premise-I,-,O,-,-,O,O,-,-,-,-
6212065_07,-,-,O,O,-,-,-,O,-,-,-,Premise-B,O,O,-,O,-,-,O,O,-,-,-,-
6212065_08,-,-,O,O,-,-,-,O,-,-,-,Premise-I,O,O,-,O,-,-,O,O,-,-,-,-
6212065_09,-,-,Premise-B,Premise-B,-,-,-,Premise-B,-,-,-,Premise-I,Premise-B,Premise-B,-,Premise-B,-,-,Premise-B,O,-,-,-,-
6212065_10,-,-,Premise-I,Premise-I,-,-,-,Premise-I,-,-,-,O,Premise-I,Premise-I,-,Premise-I,-,-,O,O,-,-,-,-
6212065_11,-,-,O,O,-,-,-,Premise-I,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6212065_12,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6212065_13,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
6212065_14,-,-,O,O,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
7091605_00,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_01,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_02,O,Premise-B,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_03,O,Premise-I,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_04,O,Premise-I,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_05,O,Premise-I,O,Premise-B,-,O,-,O,-,-,-,-,-,Premise-B,-,Premise-B,-,-,-,O,-,-,-,-
7091605_06,O,Premise-I,O,Premise-I,-,O,-,O,-,-,-,-,-,Premise-I,-,Premise-I,-,-,-,O,-,-,-,-
7091605_07,Premise-B,O,O,Premise-B,-,O,-,O,-,-,-,-,-,Premise-I,-,O,-,-,-,O,-,-,-,-
7091605_08,Premise-B,Premise-B,O,O,-,O,-,Premise-B,-,-,-,-,-,Premise-B,-,O,-,-,-,O,-,-,-,-
7091605_09,Premise-I,Premise-I,O,O,-,O,-,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,O,-,-,-,-
7091605_10,O,Premise-B,O,O,-,Premise-B,-,Premise-I,-,-,-,-,-,Premise-B,-,O,-,-,-,O,-,-,-,-
7091605_11,O,Premise-I,O,O,-,Premise-I,-,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,O,-,-,-,-
7091605_12,O,Premise-I,O,O,-,Premise-I,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_13,O,Premise-I,O,O,-,Premise-I,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_14,O,Premise-I,Premise-B,O,-,Premise-I,-,O,-,-,-,-,-,Premise-B,-,O,-,-,-,O,-,-,-,-
7091605_15,Premise-B,Premise-I,Premise-B,O,-,O,-,O,-,-,-,-,-,Premise-B,-,O,-,-,-,O,-,-,-,-
7091605_16,Premise-I,Premise-I,Premise-I,O,-,O,-,O,-,-,-,-,-,Premise-I,-,O,-,-,-,O,-,-,-,-
7091605_17,Premise-I,Premise-I,Premise-I,O,-,O,-,O,-,-,-,-,-,Premise-I,-,O,-,-,-,O,-,-,-,-
7091605_18,Premise-I,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_19,Premise-I,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7091605_20,Premise-B,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,O,-,-,-,-
7227542_00,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
7227542_01,O,O,O,O,-,O,-,Premise-B,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
7227542_02,O,O,O,O,-,O,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
7227542_03,O,O,O,O,-,O,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
7227542_04,O,O,O,O,-,O,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
7227542_05,O,O,O,Premise-B,-,O,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
7227542_06,Premise-B,O,O,Premise-I,-,O,-,Premise-B,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
7227542_07,O,O,O,O,-,O,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
7638699_00,-,-,O,O,-,-,-,O,-,-,O,-,O,Premise-B,-,Premise-B,-,-,-,-,O,-,-,O
7638699_01,-,-,O,O,-,-,-,O,-,-,O,-,O,Premise-I,-,O,-,-,-,-,O,-,-,O
7638699_02,-,-,Premise-B,Premise-B,-,-,-,Premise-B,-,-,O,-,Premise-B,Premise-I,-,Premise-B,-,-,-,-,Premise-B,-,-,O
7638699_03,-,-,Premise-I,Premise-I,-,-,-,Premise-B,-,-,O,-,O,O,-,O,-,-,-,-,Premise-I,-,-,Premise-B
7638699_04,-,-,Premise-I,Premise-B,-,-,-,Premise-I,-,-,O,-,O,O,-,O,-,-,-,-,Premise-I,-,-,Premise-I
